timestamps, raw distance, filtered distance, raw azimuth, filtered azimuth, Latitude, Longitude, RAW_LAT, RAW_LONG, Sound_LAT, Sound_LONG, currentOrientation, trialState, trialNumber, earconPlayed 
0.000799167,1602.91,32.7125,1.554,0.222,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,0,0,0,0
0.0296793,1602.91,65.425,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,0,0,0,0
0.0473803,1602.91,98.1375,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,0,0,0,0
0.0596376,1602.91,130.85,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,0,0,0,0
0.0707127,1602.91,163.562,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,0,0,0,0
0.0883072,1602.91,196.275,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,0,0,0,0
0.104842,1602.91,228.987,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.123521,1602.91,261.7,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.141137,1602.91,294.412,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.156625,1602.91,327.125,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.172551,1602.91,359.837,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.19056,1602.91,392.55,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.204413,1602.91,425.262,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.22085,1602.91,457.975,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.237549,1602.91,490.687,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.255447,1602.91,523.4,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.270864,1602.91,556.112,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.289713,1602.91,588.825,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,288.922,0,0,0
0.305095,1602.91,621.537,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.323267,1602.91,654.25,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.340321,1602.91,686.962,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.356129,1602.91,719.675,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.371706,1602.91,752.387,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.388957,1602.91,785.1,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.405642,1602.91,817.812,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.421905,1602.91,850.525,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.439058,1602.91,883.237,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.457458,1602.91,915.95,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.472646,1602.91,948.662,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.487465,1602.91,981.375,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,289.297,0,0,0
0.504663,1602.91,1014.09,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.521401,1602.91,1046.8,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.539242,1602.91,1079.51,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.562024,1602.91,1112.22,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.578129,1602.91,1144.94,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.588542,1602.91,1177.65,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.604699,1602.91,1210.36,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.621238,1602.91,1243.07,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.638015,1602.91,1275.79,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.655127,1602.91,1308.5,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.671263,1602.91,1341.21,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.689422,1602.91,1373.92,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.705309,1602.91,1406.64,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,285.203,0,0,0
0.722049,1602.91,1439.35,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,248.172,0,0,0
0.738704,1602.91,1472.06,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,248.172,0,0,0
0.756073,1602.91,1504.77,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,248.172,0,0,0
0.77193,1602.91,1537.49,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,248.172,0,0,0
0.788777,1602.91,1570.2,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,248.172,0,0,0
0.805198,1602.91,1602.91,1.554,0.444,55.6396,12.5243,55.6396,12.5243,55.6506,12.5409,248.172,0,0,0
