timestamps, raw distance, filtered distance, raw azimuth, filtered azimuth, Latitude, Longitude, RAW_LAT, RAW_LONG, Sound_LAT, Sound_LONG, currentOrientation, trialState, trialNumber, earconPlayed 
0.000724322,1599.02,32.6331,1.554,0.222,55.6396,12.5244,55.6396,12.5244,55.6506,12.5409,0,0,0,0
0.0368931,3104.29,95.986,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.0544145,3104.29,159.339,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.0742015,3104.29,222.692,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.0810419,3104.29,286.045,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.097682,3104.29,349.398,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.114678,3104.29,412.751,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.131087,3104.29,476.104,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.147677,3104.29,539.457,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,0,0,0,0
0.164268,3104.29,602.81,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.181715,3104.29,666.162,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.198191,3104.29,729.515,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.214948,3104.29,792.868,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.231473,3104.29,856.221,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.248387,3104.29,919.574,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.26497,3104.29,982.927,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.281478,3104.29,1046.28,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.29822,3104.29,1109.63,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.314802,3104.29,1172.99,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.331367,3104.29,1236.34,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.734,0,0,0
0.349575,3104.29,1299.69,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
0.366155,3104.29,1363.04,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
0.381157,3104.29,1426.4,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
0.39772,3104.29,1489.75,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
0.414576,3104.29,1553.1,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
0.431006,3104.29,1616.46,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
0.448067,3104.29,1679.81,1.554,0.222,55.6232,12.5311,55.6232,12.5311,55.6506,12.5409,260.859,0,0,0
